experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s,avg_aoi_5,peak_aoi_5,weight_5,avg_aoi_6,peak_aoi_6,weight_6,avg_aoi_7,peak_aoi_7,weight_7,avg_aoi_8,peak_aoi_8,weight_8,avg_aoi_9,peak_aoi_9,weight_9,avg_aoi_10,peak_aoi_10,weight_10,avg_aoi_11,peak_aoi_11,weight_11,avg_aoi_12,peak_aoi_12,weight_12,avg_aoi_13,peak_aoi_13,weight_13,avg_aoi_14,peak_aoi_14,weight_14,avg_aoi_15,peak_aoi_15,weight_15,avg_aoi_16,peak_aoi_16,weight_16,avg_aoi_17,peak_aoi_17,weight_17,avg_aoi_18,peak_aoi_18,weight_18,avg_aoi_19,peak_aoi_19,weight_19,avg_aoi_20,peak_aoi_20,weight_20,avg_aoi_21,peak_aoi_21,weight_21,avg_aoi_22,peak_aoi_22,weight_22,avg_aoi_23,peak_aoi_23,weight_23,avg_aoi_24,peak_aoi_24,weight_24,avg_aoi_25,peak_aoi_25,weight_25,avg_aoi_26,peak_aoi_26,weight_26,avg_aoi_27,peak_aoi_27,weight_27,avg_aoi_28,peak_aoi_28,weight_28,avg_aoi_29,peak_aoi_29,weight_29,avg_aoi_30,peak_aoi_30,weight_30,avg_aoi_31,peak_aoi_31,weight_31,avg_aoi_32,peak_aoi_32,weight_32,avg_aoi_33,peak_aoi_33,weight_33,avg_aoi_34,peak_aoi_34,weight_34,avg_aoi_35,peak_aoi_35,weight_35,avg_aoi_36,peak_aoi_36,weight_36,avg_aoi_37,peak_aoi_37,weight_37,avg_aoi_38,peak_aoi_38,weight_38,avg_aoi_39,peak_aoi_39,weight_39,avg_aoi_40,peak_aoi_40,weight_40,avg_aoi_41,peak_aoi_41,weight_41,avg_aoi_42,peak_aoi_42,weight_42,avg_aoi_43,peak_aoi_43,weight_43,avg_aoi_44,peak_aoi_44,weight_44,avg_aoi_45,peak_aoi_45,weight_45,avg_aoi_46,peak_aoi_46,weight_46,avg_aoi_47,peak_aoi_47,weight_47,avg_aoi_48,peak_aoi_48,weight_48,avg_aoi_49,peak_aoi_49,weight_49
scalability,N_5,0,whittle,150,63.42666666666667,147.0,6.92,18.0,1.0,4.633333333333334,15.0,2.0,3.993333333333333,10.0,3.0,3.94,10.0,4.0,3.9,10.0,5.0,18.0,3.0,3.9444444444444446,0.0027486666666666666,0.0018106999996234663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,0,round_robin,150,87.6,190.0,3.6666666666666665,10.0,1.0,3.9466666666666668,10.0,2.0,4.74,20.0,3.0,6.08,15.0,4.0,7.5,25.0,5.0,25.0,3.0,6.1066666666666665,0.00016466666666666667,0.000858300001709722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,0,periodic,150,99.12666666666667,155.0,9.5,30.0,1.0,7.266666666666667,15.0,2.0,7.38,16.0,3.0,6.446666666666666,15.0,4.0,5.433333333333334,14.0,5.0,30.0,3.0,6.419999999999999,0.00017066666666666665,0.0008379999999306165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,0,greedy,150,65.78,136.0,10.433333333333334,28.0,1.0,5.913333333333333,15.0,2.0,4.7,12.0,3.0,3.48,10.0,4.0,3.1,8.0,5.0,28.0,3.0,3.76,0.0006906666666666666,0.0008603000023867935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,0,random,150,123.32666666666667,346.0,4.793333333333333,20.0,1.0,6.66,25.0,2.0,5.54,18.0,3.0,9.606666666666667,32.0,4.0,10.033333333333333,43.0,5.0,43.0,3.0,8.393333333333333,0.0012506666666666666,0.0009810999981709756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,1,whittle,150,58.22666666666667,112.0,6.72,18.0,1.0,4.373333333333333,10.0,2.0,3.5933333333333333,8.0,3.0,3.5533333333333332,8.0,4.0,3.5533333333333332,10.0,5.0,18.0,3.0,3.5666666666666664,0.004492666666666667,0.002677700002095662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,1,round_robin,150,85.46666666666667,155.0,3.3333333333333335,10.0,1.0,3.1466666666666665,10.0,2.0,3.473333333333333,10.0,3.0,7.8133333333333335,25.0,4.0,6.833333333333333,20.0,5.0,25.0,3.0,6.04,0.00015133333333333334,0.0009739000015542842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,1,periodic,150,95.19333333333333,140.0,8.0,15.0,1.0,7.08,15.0,2.0,6.4,15.0,3.0,6.1,15.0,4.0,5.886666666666667,15.0,5.0,15.0,3.0,6.128888888888889,0.00015933333333333335,0.0008442000034847297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,1,greedy,150,59.266666666666666,108.0,9.213333333333333,23.0,1.0,5.52,14.0,2.0,4.113333333333333,10.0,3.0,3.0933333333333333,9.0,4.0,2.86,7.0,5.0,23.0,3.0,3.3555555555555556,0.00073,0.0009176999956252985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_5,1,random,150,92.22,184.0,5.126666666666667,20.0,1.0,5.306666666666667,16.0,2.0,4.62,14.0,3.0,6.413333333333333,24.0,4.0,7.3933333333333335,28.0,5.0,28.0,3.0,6.142222222222222,0.0012066666666666667,0.00107709999429062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_10,0,whittle,150,464.2133333333333,797.7777777777777,76.5,151.0,1.0,76.5,151.0,1.4444444444444444,49.98,117.0,1.8888888888888888,13.233333333333333,36.0,2.333333333333333,8.786666666666667,30.0,2.7777777777777777,151.0,3.0,6.285333333333334,0.008357333333333335,0.003355200002260972,7.3533333333333335,21.0,3.2222222222222223,6.32,16.0,3.6666666666666665,6.1466666666666665,19.0,4.111111111111111,5.96,15.0,4.555555555555555,5.6466666666666665,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability,N_10,0,round_robin,150,392.74074074074076,601.6666666666666,6.166666666666667,20.0,1.0,6.113333333333333,20.0,1.4444444444444444,6.073333333333333,20.0,1.8888888888888888,10.046666666666667,30.0,2.333333333333333,10.033333333333333,30.0,2.7777777777777777,80.0,3.0,15.593333333333334,0.00015066666666666665,0.0011419000002206303,24.7,80.0,3.2222222222222223,9.38,30.0,3.6666666666666665,9.806666666666667,30.0,4.111111111111111,21.913333333333334,60.0,4.555555555555555,12.166666666666666,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
