experiment_name,scenario_name,run_id,strategy,slots,average_weighted_aoi,peak_weighted_aoi,avg_aoi_0,peak_aoi_0,weight_0,avg_aoi_1,peak_aoi_1,weight_1,avg_aoi_2,peak_aoi_2,weight_2,avg_aoi_3,peak_aoi_3,weight_3,avg_aoi_4,peak_aoi_4,weight_4,system_peak_aoi,high_weight_threshold,high_weight_avg_aoi,avg_decision_time_ms,total_runtime_s,avg_aoi_5,peak_aoi_5,weight_5,avg_aoi_6,peak_aoi_6,weight_6,avg_aoi_7,peak_aoi_7,weight_7,avg_aoi_8,peak_aoi_8,weight_8,avg_aoi_9,peak_aoi_9,weight_9,avg_aoi_10,peak_aoi_10,weight_10,avg_aoi_11,peak_aoi_11,weight_11,avg_aoi_12,peak_aoi_12,weight_12,avg_aoi_13,peak_aoi_13,weight_13,avg_aoi_14,peak_aoi_14,weight_14,avg_aoi_15,peak_aoi_15,weight_15,avg_aoi_16,peak_aoi_16,weight_16,avg_aoi_17,peak_aoi_17,weight_17,avg_aoi_18,peak_aoi_18,weight_18,avg_aoi_19,peak_aoi_19,weight_19,avg_aoi_20,peak_aoi_20,weight_20,avg_aoi_21,peak_aoi_21,weight_21,avg_aoi_22,peak_aoi_22,weight_22,avg_aoi_23,peak_aoi_23,weight_23,avg_aoi_24,peak_aoi_24,weight_24,avg_aoi_25,peak_aoi_25,weight_25,avg_aoi_26,peak_aoi_26,weight_26,avg_aoi_27,peak_aoi_27,weight_27,avg_aoi_28,peak_aoi_28,weight_28,avg_aoi_29,peak_aoi_29,weight_29,avg_aoi_30,peak_aoi_30,weight_30,avg_aoi_31,peak_aoi_31,weight_31,avg_aoi_32,peak_aoi_32,weight_32,avg_aoi_33,peak_aoi_33,weight_33,avg_aoi_34,peak_aoi_34,weight_34,avg_aoi_35,peak_aoi_35,weight_35,avg_aoi_36,peak_aoi_36,weight_36,avg_aoi_37,peak_aoi_37,weight_37,avg_aoi_38,peak_aoi_38,weight_38,avg_aoi_39,peak_aoi_39,weight_39,avg_aoi_40,peak_aoi_40,weight_40,avg_aoi_41,peak_aoi_41,weight_41,avg_aoi_42,peak_aoi_42,weight_42,avg_aoi_43,peak_aoi_43,weight_43,avg_aoi_44,peak_aoi_44,weight_44,avg_aoi_45,peak_aoi_45,weight_45,avg_aoi_46,peak_aoi_46,weight_46,avg_aoi_47,peak_aoi_47,weight_47,avg_aoi_48,peak_aoi_48,weight_48,avg_aoi_49,peak_aoi_49,weight_49
scalability,N_50,3,whittle,2000,5472.770132653061,8119.265306122448,79.254,230.0,1.0,71.725,221.0,1.0816326530612246,63.342,207.0,1.163265306122449,55.526,184.0,1.2448979591836735,52.614,183.0,1.3265306122448979,230.0,3.0,33.577040000000004,0.020875900000000003,0.07860175298992544,47.4435,104.0,1.4081632653061225,46.5215,108.0,1.489795918367347,45.62,105.0,1.5714285714285714,44.3495,100.0,1.6530612244897958,43.125,96.0,1.7346938775510203,42.929,97.0,1.816326530612245,42.018,97.0,1.8979591836734693,41.47,96.0,1.9795918367346939,40.9725,95.0,2.061224489795918,40.426,92.0,2.142857142857143,39.6525,92.0,2.224489795918367,39.238,91.0,2.3061224489795915,38.482,90.0,2.387755102040816,38.187,89.0,2.4693877551020407,37.951,89.0,2.5510204081632653,37.825,89.0,2.63265306122449,36.858,88.0,2.7142857142857144,36.825,90.0,2.7959183673469385,36.5965,90.0,2.877551020408163,36.4715,91.0,2.9591836734693877,36.0555,90.0,3.0408163265306123,35.4185,89.0,3.1224489795918364,35.34,84.0,3.204081632653061,35.148,84.0,3.2857142857142856,34.901,85.0,3.36734693877551,34.534,87.0,3.4489795918367343,34.3385,83.0,3.530612244897959,34.296,83.0,3.6122448979591835,34.0395,83.0,3.693877551020408,33.7975,83.0,3.7755102040816326,33.4915,83.0,3.8571428571428568,33.315,77.0,3.9387755102040813,33.1725,77.0,4.020408163265306,33.136,80.0,4.1020408163265305,32.9555,78.0,4.183673469387754,32.793,76.0,4.26530612244898,32.865,76.0,4.346938775510203,32.7035,76.0,4.428571428571429,32.6835,80.0,4.5102040816326525,32.64,79.0,4.591836734693877,32.567,81.0,4.673469387755102,32.414,77.0,4.755102040816326,32.2695,78.0,4.836734693877551,32.1875,81.0,4.918367346938775,32.364,75.0,5.0
scalability,N_50,3,round_robin,2000,7518.042346938776,10778.061224489795,30.5,100.0,1.0,27.951,100.0,1.0816326530612246,27.953,100.0,1.163265306122449,33.031,150.0,1.2448979591836735,25.41,50.0,1.3265306122448979,300.0,3.0,55.254000000000005,0.0001496275,0.036281072068959475,32.89,100.0,1.4081632653061225,31.621,150.0,1.489795918367347,36.428,150.0,1.5714285714285714,39.086,200.0,1.6530612244897958,35.57,150.0,1.7346938775510203,40.305,150.0,1.816326530612245,36.541,150.0,1.8979591836734693,31.253,163.0,1.9795918367346939,35.266,100.0,2.061224489795918,42.405,200.0,2.142857142857143,46.495,200.0,2.224489795918367,53.986,200.0,2.3061224489795915,36.928,150.0,2.387755102040816,36.946,150.0,2.4693877551020407,38.215,150.0,2.5510204081632653,50.21,200.0,2.63265306122449,38.431,150.0,2.7142857142857144,40.203,150.0,2.7959183673469385,42.051,150.0,2.877551020408163,38.95,150.0,2.9591836734693877,43.95,200.0,3.0408163265306123,47.701,150.0,3.1224489795918364,41.053,178.0,3.204081632653061,62.556,250.0,3.2857142857142856,65.21,300.0,3.36734693877551,56.24,200.0,3.4489795918367343,42.721,150.0,3.530612244897959,47.728,200.0,3.6122448979591835,59.036,250.0,3.693877551020408,46.895,250.0,3.7755102040816326,59.005,250.0,3.8571428571428568,48.366,200.0,3.9387755102040813,50.603,200.0,4.020408163265306,33.766,100.0,4.1020408163265305,70.055,300.0,4.183673469387754,64.07,250.0,4.26530612244898,56.386,200.0,4.346938775510203,46.603,150.0,4.428571428571429,56.971,200.0,4.5102040816326525,69.29,300.0,4.591836734693877,72.51,246.0,4.673469387755102,80.431,300.0,4.755102040816326,47.953,200.0,4.836734693877551,50.476,200.0,4.918367346938775,61.775,250.0,5.0
scalability,N_50,3,periodic,2000,11525.267204081632,13804.795918367347,85.5,300.0,1.0,85.476,300.0,1.0816326530612246,89.053,300.0,1.163265306122449,85.731,300.0,1.2448979591836735,96.66,300.0,1.3265306122448979,301.0,3.0,74.95074000000001,0.0001717365,0.036867680959403515,88.765,300.0,1.4081632653061225,85.371,300.0,1.489795918367347,73.337,150.0,1.5714285714285714,84.56,300.0,1.6530612244897958,84.677,301.0,1.7346938775510203,73.104,150.0,1.816326530612245,73.4565,150.0,1.8979591836734693,74.651,169.0,1.9795918367346939,84.6885,300.0,2.061224489795918,84.596,299.0,2.142857142857143,72.9695,149.0,2.224489795918367,73.5665,151.0,2.3061224489795915,95.696,299.0,2.387755102040816,73.23,150.0,2.4693877551020407,83.7915,299.0,2.5510204081632653,72.96,152.0,2.63265306122449,84.108,299.0,2.7142857142857144,72.652,150.0,2.7959183673469385,84.326,300.0,2.877551020408163,84.387,298.0,2.9591836734693877,84.5345,300.0,3.0408163265306123,84.293,299.0,3.1224489795918364,72.934,152.0,3.204081632653061,72.9045,151.0,3.2857142857142856,72.837,151.0,3.36734693877551,72.3165,151.0,3.4489795918367343,83.076,299.0,3.530612244897959,71.3385,149.0,3.6122448979591835,71.3915,151.0,3.693877551020408,71.307,150.0,3.7755102040816326,70.7925,149.0,3.8571428571428568,83.1435,300.0,3.9387755102040813,86.491,256.0,4.020408163265306,71.1585,150.0,4.1020408163265305,71.0065,150.0,4.183673469387754,79.236,254.0,4.26530612244898,71.8625,150.0,4.346938775510203,71.137,150.0,4.428571428571429,71.205,150.0,4.5102040816326525,82.362,297.0,4.591836734693877,71.5415,153.0,4.673469387755102,71.0145,150.0,4.755102040816326,71.7105,150.0,4.836734693877551,71.9875,152.0,4.918367346938775,72.1875,151.0,5.0
scalability,N_50,3,greedy,2000,5837.54437755102,8685.632653061224,112.3525,247.0,1.0,104.9295,250.0,1.0816326530612246,94.7685,230.0,1.163265306122449,89.255,198.0,1.2448979591836735,85.937,193.0,1.3265306122448979,250.0,3.0,30.06468,0.003392014,0.04583842505235225,78.708,184.0,1.4081632653061225,77.519,179.0,1.489795918367347,73.1975,173.0,1.5714285714285714,68.988,170.0,1.6530612244897958,67.774,158.0,1.7346938775510203,63.593,157.0,1.816326530612245,60.804,149.0,1.8979591836734693,58.4805,145.0,1.9795918367346939,57.2145,141.0,2.061224489795918,54.434,131.0,2.142857142857143,52.3195,128.0,2.224489795918367,51.0495,120.0,2.3061224489795915,48.509,112.0,2.387755102040816,47.041,115.0,2.4693877551020407,46.461,113.0,2.5510204081632653,44.0995,104.0,2.63265306122449,42.789,105.0,2.7142857142857144,40.924,99.0,2.7959183673469385,40.118,97.0,2.877551020408163,39.784,97.0,2.9591836734693877,38.781,94.0,3.0408163265306123,37.5625,91.0,3.1224489795918364,36.836,90.0,3.204081632653061,35.642,88.0,3.2857142857142856,35.3185,84.0,3.36734693877551,34.1295,81.0,3.4489795918367343,33.387,81.0,3.530612244897959,32.463,79.0,3.6122448979591835,32.1255,75.0,3.693877551020408,31.257,75.0,3.7755102040816326,30.414,72.0,3.8571428571428568,29.8795,70.0,3.9387755102040813,29.5465,72.0,4.020408163265306,28.751,69.0,4.1020408163265305,28.1655,71.0,4.183673469387754,27.697,68.0,4.26530612244898,27.321,65.0,4.346938775510203,26.9995,68.0,4.428571428571429,26.449,65.0,4.5102040816326525,25.887,64.0,4.591836734693877,25.357,61.0,4.673469387755102,24.856,61.0,4.755102040816326,24.5235,58.0,4.836734693877551,24.122,59.0,4.918367346938775,24.1465,59.0,5.0
scalability,N_50,3,random,2000,11322.1583877551,14187.265306122448,50.383,242.0,1.0,74.7505,302.0,1.0816326530612246,46.4405,195.0,1.163265306122449,55.8935,244.0,1.2448979591836735,61.5105,269.0,1.3265306122448979,528.0,3.0,80.93654000000001,0.0017460779999999999,0.04988947603851557,71.846,261.0,1.4081632653061225,62.822,219.0,1.489795918367347,52.2355,205.0,1.5714285714285714,72.7325,250.0,1.6530612244897958,57.939,245.0,1.7346938775510203,76.9275,378.0,1.816326530612245,43.8685,164.0,1.8979591836734693,61.827,228.0,1.9795918367346939,53.44,202.0,2.061224489795918,64.8555,239.0,2.142857142857143,52.393,257.0,2.224489795918367,62.3335,281.0,2.3061224489795915,61.379,231.0,2.387755102040816,61.4,272.0,2.4693877551020407,53.871,204.0,2.5510204081632653,47.094,153.0,2.63265306122449,75.1655,283.0,2.7142857142857144,48.9325,256.0,2.7959183673469385,61.4525,193.0,2.877551020408163,88.743,401.0,2.9591836734693877,61.6965,256.0,3.0408163265306123,67.4,275.0,3.1224489795918364,87.2815,372.0,3.204081632653061,62.7035,292.0,3.2857142857142856,51.8225,254.0,3.36734693877551,75.7115,278.0,3.4489795918367343,102.378,462.0,3.530612244897959,89.6125,338.0,3.6122448979591835,54.8515,227.0,3.693877551020408,78.049,273.0,3.7755102040816326,69.8955,293.0,3.8571428571428568,57.3225,267.0,3.9387755102040813,51.297,178.0,4.020408163265306,122.548,505.0,4.1020408163265305,86.8455,301.0,4.183673469387754,65.119,284.0,4.26530612244898,72.801,331.0,4.346938775510203,67.3635,253.0,4.428571428571429,68.3575,220.0,4.5102040816326525,100.814,351.0,4.591836734693877,90.795,307.0,4.673469387755102,120.204,528.0,4.755102040816326,123.86,526.0,4.836734693877551,100.026,421.0,4.918367346938775,94.6585,430.0,5.0
scalability,N_50,4,whittle,2000,5460.127897959184,7726.3877551020405,88.902,338.0,1.0,59.337,179.0,1.0816326530612246,59.657,205.0,1.163265306122449,56.517,206.0,1.2448979591836735,52.2785,173.0,1.3265306122448979,338.0,3.0,33.522960000000005,0.022126576499999998,0.08302805107086897,46.9245,104.0,1.4081632653061225,46.3655,108.0,1.489795918367347,45.511,120.0,1.5714285714285714,44.8935,134.0,1.6530612244897958,44.4255,115.0,1.7346938775510203,42.5475,96.0,1.816326530612245,42.2955,101.0,1.8979591836734693,41.1135,99.0,1.9795918367346939,41.0325,101.0,2.061224489795918,39.842,89.0,2.142857142857143,39.394,91.0,2.224489795918367,39.2765,89.0,2.3061224489795915,38.9755,92.0,2.387755102040816,38.0495,95.0,2.4693877551020407,37.9275,93.0,2.5510204081632653,37.9005,95.0,2.63265306122449,36.844,83.0,2.7142857142857144,36.5545,84.0,2.7959183673469385,36.4985,82.0,2.877551020408163,36.46,85.0,2.9591836734693877,35.4485,88.0,3.0408163265306123,35.3895,90.0,3.1224489795918364,35.4305,87.0,3.204081632653061,35.0015,80.0,3.2857142857142856,34.755,81.0,3.36734693877551,34.4185,80.0,3.4489795918367343,34.332,81.0,3.530612244897959,33.9245,80.0,3.6122448979591835,33.8575,84.0,3.693877551020408,33.655,86.0,3.7755102040816326,33.48,85.0,3.8571428571428568,33.406,84.0,3.9387755102040813,33.4405,77.0,4.020408163265306,33.3235,75.0,4.1020408163265305,33.336,78.0,4.183673469387754,33.067,77.0,4.26530612244898,32.715,79.0,4.346938775510203,32.6185,80.0,4.428571428571429,32.74,77.0,4.5102040816326525,32.692,79.0,4.591836734693877,32.2045,75.0,4.673469387755102,32.1095,74.0,4.755102040816326,32.1805,73.0,4.836734693877551,32.1995,77.0,4.918367346938775,32.349,76.0,5.0
scalability,N_50,4,round_robin,2000,7751.360714285714,11194.38775510204,48.0,200.0,1.0,29.226,100.0,1.0816326530612246,30.453,100.0,1.163265306122449,31.681,150.0,1.2448979591836735,32.71,146.0,1.3265306122448979,550.0,3.0,57.355,0.000141376,0.03683485207147896,31.64,100.0,1.4081632653061225,36.796,150.0,1.489795918367347,42.853,150.0,1.5714285714285714,32.836,150.0,1.6530612244897958,31.345,100.0,1.7346938775510203,37.105,150.0,1.816326530612245,34.041,150.0,1.8979591836734693,37.478,150.0,1.9795918367346939,42.441,150.0,2.061224489795918,31.505,100.0,2.142857142857143,39.87,150.0,2.224489795918367,42.761,200.0,2.3061224489795915,31.928,150.0,2.387755102040816,35.221,150.0,2.4693877551020407,43.515,150.0,2.5510204081632653,36.985,150.0,2.63265306122449,45.206,200.0,2.7142857142857144,37.703,150.0,2.7959183673469385,38.301,150.0,2.877551020408163,37.7,150.0,2.9591836734693877,42.7,150.0,3.0408163265306123,50.151,200.0,3.1224489795918364,31.453,100.0,3.204081632653061,39.506,150.0,3.2857142857142856,53.985,200.0,3.36734693877551,52.24,200.0,3.4489795918367343,50.221,250.0,3.530612244897959,35.678,100.0,3.6122448979591835,59.411,300.0,3.693877551020408,47.37,150.0,3.7755102040816326,85.255,300.0,3.8571428571428568,45.066,164.0,3.9387755102040813,48.428,150.0,4.020408163265306,70.016,250.0,4.1020408163265305,45.055,200.0,4.183673469387754,76.945,300.0,4.26530612244898,59.136,250.0,4.346938775510203,53.753,200.0,4.428571428571429,77.696,357.0,4.5102040816326525,55.39,200.0,4.591836734693877,65.91,205.0,4.673469387755102,48.131,150.0,4.755102040816326,58.178,200.0,4.836734693877551,115.451,550.0,4.918367346938775,66.75,200.0,5.0
scalability,N_50,4,periodic,2000,11615.693091836736,13810.551020408162,85.5,300.0,1.0,85.476,300.0,1.0816326530612246,119.203,300.0,1.163265306122449,85.431,300.0,1.2448979591836735,107.91,450.0,1.3265306122448979,450.0,3.0,74.91302,0.00015303200000000002,0.036878666025586426,92.14,345.0,1.4081632653061225,97.146,300.0,1.489795918367347,84.587,300.0,1.5714285714285714,73.305,150.0,1.6530612244897958,73.594,150.0,1.7346938775510203,73.402,150.0,1.816326530612245,84.5745,299.0,1.8979591836734693,84.4755,299.0,1.9795918367346939,86.0395,299.0,2.061224489795918,84.4465,299.0,2.142857142857143,73.205,150.0,2.224489795918367,84.5915,299.0,2.3061224489795915,73.357,150.0,2.387755102040816,75.3905,180.0,2.4693877551020407,72.924,151.0,2.5510204081632653,83.8455,300.0,2.63265306122449,84.079,298.0,2.7142857142857144,83.9195,298.0,2.7959183673469385,84.1755,298.0,2.877551020408163,73.2145,152.0,2.9591836734693877,73.0615,150.0,3.0408163265306123,73.0155,150.0,3.1224489795918364,72.413,150.0,3.204081632653061,83.9805,299.0,3.2857142857142856,77.3395,212.0,3.36734693877551,83.45,298.0,3.4489795918367343,71.0925,150.0,3.530612244897959,71.5135,150.0,3.6122448979591835,71.2285,149.0,3.693877551020408,71.9555,151.0,3.7755102040816326,82.3615,297.0,3.8571428571428568,71.3315,150.0,3.9387755102040813,79.708,256.0,4.020408163265306,71.701,151.0,4.1020408163265305,70.854,149.0,4.183673469387754,82.685,298.0,4.26530612244898,71.311,150.0,4.346938775510203,71.492,151.0,4.428571428571429,70.641,152.0,4.5102040816326525,71.5475,151.0,4.591836734693877,71.3075,150.0,4.673469387755102,82.455,300.0,4.755102040816326,71.192,149.0,4.836734693877551,72.251,151.0,4.918367346938775,82.9375,296.0,5.0
scalability,N_50,4,greedy,2000,5771.535153061224,7558.3877551020405,108.4675,256.0,1.0,100.9605,217.0,1.0816326530612246,94.5865,213.0,1.163265306122449,88.1265,191.0,1.2448979591836735,85.0695,201.0,1.3265306122448979,256.0,3.0,29.73918,0.0034393145,0.043027228908613324,79.0955,193.0,1.4081632653061225,77.982,172.0,1.489795918367347,72.4115,167.0,1.5714285714285714,68.1285,157.0,1.6530612244897958,64.3855,149.0,1.7346938775510203,61.702,143.0,1.816326530612245,59.5975,129.0,1.8979591836734693,57.286,130.0,1.9795918367346939,56.6695,129.0,2.061224489795918,53.9465,125.0,2.142857142857143,51.8105,125.0,2.224489795918367,50.889,115.0,2.3061224489795915,48.4445,112.0,2.387755102040816,46.8835,112.0,2.4693877551020407,44.6235,106.0,2.5510204081632653,44.271,103.0,2.63265306122449,42.538,98.0,2.7142857142857144,41.7785,100.0,2.7959183673469385,39.561,93.0,2.877551020408163,39.3985,90.0,2.9591836734693877,38.0455,88.0,3.0408163265306123,36.9985,87.0,3.1224489795918364,36.494,84.0,3.204081632653061,35.3685,82.0,3.2857142857142856,34.2415,80.0,3.36734693877551,33.5635,79.0,3.4489795918367343,32.794,78.0,3.530612244897959,32.1685,74.0,3.6122448979591835,31.6725,84.0,3.693877551020408,31.035,74.0,3.7755102040816326,30.3335,74.0,3.8571428571428568,29.674,68.0,3.9387755102040813,28.857,65.0,4.020408163265306,28.3595,68.0,4.1020408163265305,27.9675,64.0,4.183673469387754,27.3445,67.0,4.26530612244898,27.4595,71.0,4.346938775510203,26.734,63.0,4.428571428571429,26.182,66.0,4.5102040816326525,25.6145,60.0,4.591836734693877,25.179,60.0,4.673469387755102,24.81,59.0,4.755102040816326,24.5005,56.0,4.836734693877551,24.1275,54.0,4.918367346938775,23.955,62.0,5.0
scalability,N_50,4,random,2000,11217.092214285714,17251.95918367347,57.8945,215.0,1.0,55.788,300.0,1.0816326530612246,42.559,183.0,1.163265306122449,60.731,231.0,1.2448979591836735,67.0045,283.0,1.3265306122448979,556.0,3.0,79.25032,0.001696366,0.04304065299220383,56.2515,291.0,1.4081632653061225,39.9665,180.0,1.489795918367347,58.494,261.0,1.5714285714285714,60.573,278.0,1.6530612244897958,77.042,295.0,1.7346938775510203,63.27,297.0,1.816326530612245,39.9695,130.0,1.8979591836734693,52.7405,186.0,1.9795918367346939,65.2015,226.0,2.061224489795918,69.646,252.0,2.142857142857143,66.889,226.0,2.224489795918367,58.193,198.0,2.3061224489795915,83.853,279.0,2.387755102040816,58.2105,282.0,2.4693877551020407,80.073,290.0,2.5510204081632653,46.634,165.0,2.63265306122449,62.41,263.0,2.7142857142857144,72.2965,251.0,2.7959183673469385,58.146,212.0,2.877551020408163,65.53,296.0,2.9591836734693877,49.539,253.0,3.0408163265306123,82.1915,408.0,3.1224489795918364,57.2225,269.0,3.204081632653061,71.316,300.0,3.2857142857142856,60.0085,255.0,3.36734693877551,76.016,333.0,3.4489795918367343,72.731,280.0,3.530612244897959,83.7945,312.0,3.6122448979591835,81.1665,321.0,3.693877551020408,66.9665,238.0,3.7755102040816326,76.207,224.0,3.8571428571428568,55.846,224.0,3.9387755102040813,75.879,272.0,4.020408163265306,54.1365,239.0,4.1020408163265305,71.6595,271.0,4.183673469387754,69.983,203.0,4.26530612244898,101.844,336.0,4.346938775510203,85.382,438.0,4.428571428571429,70.3045,327.0,4.5102040816326525,55.9735,278.0,4.591836734693877,106.326,476.0,4.673469387755102,134.4455,556.0,4.755102040816326,149.4555,521.0,4.836734693877551,51.18,181.0,4.918367346938775,121.684,516.0,5.0
